Name,Keyword,Snippet,Category
FM GetNthRecord,;fmgetnthrecord,GetNthRecord (  ),Logical
FM GetSummary,;fmgetsummary,GetSummary (  ),Logical
FM If,;fmif,If ( test ; resultIfTrue ; resultIfFalse ),Logical
FM IsEmpty,;fmisempty,IsEmpty ( expression ),Logical
FM IsValid,;fmisvalid,IsValid ( expression ),Logical
FM IsValidExpression,;fmisvalidexpression,IsValidExpression (  ),Logical
FM Let,;fmlet,"Let ( [
    var = value
] ;
    result
)",Logical
FM Lookup,;fmlookup,Lookup (  ),Logical
FM LookupNext,;fmlookupnext,LookupNext (  ),Logical
FM Self,;fmself,Self,Logical
FM SetRecursion,;fmsetrecursion,SetRecursion (  ),Logical
FM While,;fmwhile,"While ( [
    i = 0 ;
    result = """"
] ;
    i < count ;
    [
        i = i + 1 ;
        result = List ( result ; i )
    ] ;
    result
)",Logical
FM AddEmbeddings,;fmaddembeddings,AddEmbeddings (  ),AI
FM ComputeModel,;fmcomputemodel,ComputeModel (  ),AI
FM CosineSimilarity,;fmcosinesimilarity,CosineSimilarity (  ),AI
FM GetEmbedding,;fmgetembedding,GetEmbedding (  ),AI
FM GetEmbeddingAsFile,;fmgetembeddingasfile,GetEmbeddingAsFile (  ),AI
FM GetEmbeddingAsText,;fmgetembeddingastext,GetEmbeddingAsText (  ),AI
FM GetFieldsOnLayout,;fmgetfieldsonlayout,GetFieldsOnLayout (  ),AI
FM GetModelAttributes,;fmgetmodelattributes,GetModelAttributes (  ),AI
FM GetRAGSpaceInfo,;fmgetragspaceinfo,GetRAGSpaceInfo (  ),AI
FM GetTableDDL,;fmgettableddl,GetTableDDL (  ),AI
FM GetTokenCount,;fmgettokencount,GetTokenCount (  ),AI
FM NormalizeEmbedding,;fmnormalizeembedding,NormalizeEmbedding (  ),AI
FM PredictFromModel,;fmpredictfrommodel,PredictFromModel (  ),AI
FM SubtractEmbeddings,;fmsubtractembeddings,SubtractEmbeddings (  ),AI
FM ConvertFromFileMakerPath,;fmconvertfromfilemakerpath,ConvertFromFileMakerPath (  ),Miscellaneous
FM ConvertToFileMakerPath,;fmconverttofilemakerpath,ConvertToFileMakerPath (  ),Miscellaneous
FM GetAddonInfo,;fmgetaddoninfo,GetAddonInfo (  ),Miscellaneous
FM GetBaseTableName,;fmgetbasetablename,GetBaseTableName (  ),Miscellaneous
FM GetFieldName,;fmfieldname,GetFieldName ( field ),Miscellaneous
FM GetLayoutObjectAttribute,;fmgetlayoutobjectattribute,GetLayoutObjectAttribute (  ),Miscellaneous
FM GetLayoutObjectOwnerInfo,;fmgetlayoutobjectownerinfo,GetLayoutObjectOwnerInfo (  ),Miscellaneous
FM GetRecordIDsFromFoundSet,;fmgetrecordidsfromfoundset,GetRecordIDsFromFoundSet (  ),Miscellaneous
FM LayoutObjectUUID,;fmlayoutobjectuuid,LayoutObjectUUID (  ),Miscellaneous
FM BaseTableIDs,;fmbasetableids,BaseTableIDs (  ),Design
FM BaseTableNames,;fmbasetablenames,BaseTableNames (  ),Design
FM DatabaseNames,;fmdatabasenames,DatabaseNames (  ),Design
FM FieldBounds,;fmfieldbounds,FieldBounds (  ),Design
FM FieldComment,;fmfieldcomment,FieldComment (  ),Design
FM FieldIDs,;fmfieldids,FieldIDs (  ),Design
FM FieldNames,;fmfieldnames,FieldNames ( fileName ; layoutName ),Design
FM FieldRepetitions,;fmfieldrepetitions,FieldRepetitions (  ),Design
FM FieldStyle,;fmfieldstyle,FieldStyle (  ),Design
FM FieldType,;fmfieldtype,FieldType (  ),Design
FM GetNextSerialValue,;fmgetnextserialvalue,GetNextSerialValue (  ),Design
FM LayoutIDs,;fmlayoutids,LayoutIDs (  ),Design
FM LayoutNames,;fmlayoutnames,LayoutNames ( fileName ),Design
FM LayoutObjectNames,;fmlayoutobjectnames,LayoutObjectNames (  ),Design
FM RelationInfo,;fmrelationinfo,RelationInfo (  ),Design
FM ScriptIDs,;fmscriptids,ScriptIDs (  ),Design
FM ScriptNames,;fmscriptnames,ScriptNames ( fileName ),Design
FM TableIDs,;fmtableids,TableIDs (  ),Design
FM TableNames,;fmtablenames,TableNames ( fileName ),Design
FM ValueListIDs,;fmvaluelistids,ValueListIDs (  ),Design
FM ValueListItems,;fmvaluelistitems,ValueListItems (  ),Design
FM ValueListNames,;fmvaluelistnames,ValueListNames (  ),Design
FM WindowNames,;fmwindownames,WindowNames (  ),Design
FM GetAVPlayerAttribute,;fmgetavplayerattribute,GetAVPlayerAttribute (  ),Mobile
FM GetSensor,;fmgetsensor,GetSensor (  ),Mobile
FM Location,;fmlocation,Location (  ),Mobile
FM LocationValues,;fmlocationvalues,LocationValues (  ),Mobile
FM RangeBeacons,;fmrangebeacons,RangeBeacons (  ),Mobile
FM Get(AccountExtendedPrivileges),;fmgetaccountextendedprivileges,Get ( AccountExtendedPrivileges ),Get
FM Get(AccountGroupName),;fmgetaccountgroupname,Get ( AccountGroupName ),Get
FM Get(AccountName),;fmgetaccountname,Get ( AccountName ),Get
FM Get(AccountPrivilegeSetName),;fmgetaccountprivilegesetname,Get ( AccountPrivilegeSetName ),Get
FM Get(AccountType),;fmgetaccounttype,Get ( AccountType ),Get
FM Get(ActiveFieldContents),;fmgetactivefieldcontents,Get ( ActiveFieldContents ),Get
FM Get(ActiveFieldName),;fmgetactivefieldname,Get ( ActiveFieldName ),Get
FM Get(ActiveFieldTableName),;fmgetactivefieldtablename,Get ( ActiveFieldTableName ),Get
FM Get(ActiveLayoutObjectName),;fmgetactivelayoutobjectname,Get ( ActiveLayoutObjectName ),Get
FM Get(ActiveModifierKeys),;fmgetactivemodifierkeys,Get ( ActiveModifierKeys ),Get
FM Get(ActivePortalRowNumber),;fmgetactiveportalrownumber,Get ( ActivePortalRowNumber ),Get
FM Get(ActiveRecordNumber),;fmgetactiverecordnumber,Get ( ActiveRecordNumber ),Get
FM Get(ActiveRepetitionNumber),;fmgetactiverepetitionnumber,Get ( ActiveRepetitionNumber ),Get
FM Get(ActiveSelectionSize),;fmgetactiveselectionsize,Get ( ActiveSelectionSize ),Get
FM Get(ActiveSelectionStart),;fmgetactiveselectionstart,Get ( ActiveSelectionStart ),Get
FM Get(AllowAbortState),;fmgetallowabortstate,Get ( AllowAbortState ),Get
FM Get(AllowFormattingBarState),;fmgetallowformattingbarstate,Get ( AllowFormattingBarState ),Get
FM Get(ApplicationArchitecture),;fmgetapplicationarchitecture,Get ( ApplicationArchitecture ),Get
FM Get(ApplicationLanguage),;fmgetapplicationlanguage,Get ( ApplicationLanguage ),Get
FM Get(ApplicationVersion),;fmgetapplicationversion,Get ( ApplicationVersion ),Get
FM Get(CacheFileName),;fmgetcachefilename,Get ( CacheFileName ),Get
FM Get(CacheFilePath),;fmgetcachefilepath,Get ( CacheFilePath ),Get
FM Get(CalculationRepetitionNumber),;fmgetcalculationrepetitionnumber,Get ( CalculationRepetitionNumber ),Get
FM Get(ConnectionAttributes),;fmgetconnectionattributes,Get ( ConnectionAttributes ),Get
FM Get(ConnectionState),;fmgetconnectionstate,Get ( ConnectionState ),Get
FM Get(CurrentDate),;fmgetcurrentdate,Get ( CurrentDate ),Get
FM Get(CurrentExtendedPrivileges),;fmgetcurrentextendedprivileges,Get ( CurrentExtendedPrivileges ),Get
FM Get(CurrentHostTimestamp),;fmgetcurrenthosttimestamp,Get ( CurrentHostTimestamp ),Get
FM Get(CurrentPrivilegeSetName),;fmgetcurrentprivilegesetname,Get ( CurrentPrivilegeSetName ),Get
FM Get(CurrentTime),;fmgetcurrenttime,Get ( CurrentTime ),Get
FM Get(CurrentTimestamp),;fmgetcurrenttimestamp,Get ( CurrentTimestamp ),Get
FM Get(CurrentTimeUTCMicroseconds),;fmgetcurrenttimeutcmicroseconds,Get ( CurrentTimeUTCMicroseconds ),Get
FM Get(CurrentTimeUTCMilliseconds),;fmgetcurrenttimeutcmilliseconds,Get ( CurrentTimeUTCMilliseconds ),Get
FM Get(CustomMenuSetName),;fmgetcustommenusetname,Get ( CustomMenuSetName ),Get
FM Get(DesktopPath),;fmgetdesktoppath,Get ( DesktopPath ),Get
FM Get(Device),;fmgetdevice,Get ( Device ),Get
FM Get(DocumentsPath),;fmgetdocumentspath,Get ( DocumentsPath ),Get
FM Get(DocumentsPathListing),;fmgetdocumentspathlisting,Get ( DocumentsPathListing ),Get
FM Get(EncryptionState),;fmgetencryptionstate,Get ( EncryptionState ),Get
FM Get(ErrorCaptureState),;fmgeterrorcapturestate,Get ( ErrorCaptureState ),Get
FM Get(FileLocaleElements),;fmgetfilelocaleelements,Get ( FileLocaleElements ),Get
FM Get(FileMakerPath),;fmgetfilemakerpath,Get ( FileMakerPath ),Get
FM Get(FileName),;fmgetfilename,Get ( FileName ),Get
FM Get(FilePath),;fmgetfilepath,Get ( FilePath ),Get
FM Get(FileSize),;fmgetfilesize,Get ( FileSize ),Get
FM Get(FoundCount),;fmgetfoundcount,Get ( FoundCount ),Get
FM Get(HighContrastState),;fmgethighcontraststate,Get ( HighContrastState ),Get
FM Get(HostApplicationVersion),;fmgethostapplicationversion,Get ( HostApplicationVersion ),Get
FM Get(HostIPAddress),;fmgethostipaddress,Get ( HostIPAddress ),Get
FM Get(HostName),;fmgethostname,Get ( HostName ),Get
FM Get(InstalledFMPlugins),;fmgetinstalledfmplugins,Get ( InstalledFMPlugins ),Get
FM Get(InstalledFMPluginsAsJSON),;fmgetinstalledfmpluginsasjson,Get ( InstalledFMPluginsAsJSON ),Get
FM Get(LastError),;fmgetlasterror,Get ( LastError ),Get
FM Get(LastErrorDetail),;fmgetlasterrordetail,Get ( LastErrorDetail ),Get
FM Get(LastErrorLocation),;fmgetlasterrorlocation,Get ( LastErrorLocation ),Get
FM Get(LastMessageChoice),;fmgetlastmessagechoice,Get ( LastMessageChoice ),Get
FM Get(LastStepTokensUsed),;fmgetlaststeptokensused,Get ( LastStepTokensUsed ),Get
FM Get(LayoutAccess),;fmgetlayoutaccess,Get ( LayoutAccess ),Get
FM Get(LayoutCount),;fmgetlayoutcount,Get ( LayoutCount ),Get
FM Get(LayoutName),;fmgetlayoutname,Get ( LayoutName ),Get
FM Get(LayoutNumber),;fmgetlayoutnumber,Get ( LayoutNumber ),Get
FM Get(LayoutTableName),;fmgetlayouttablename,Get ( LayoutTableName ),Get
FM Get(LayoutViewState),;fmgetlayoutviewstate,Get ( LayoutViewState ),Get
FM Get(MenubarState),;fmgetmenubarstate,Get ( MenubarState ),Get
FM Get(ModifiedFields),;fmgetmodifiedfields,Get ( ModifiedFields ),Get
FM Get(MultiUserState),;fmgetmultiuserstate,Get ( MultiUserState ),Get
FM Get(NetworkProtocol),;fmgetnetworkprotocol,Get ( NetworkProtocol ),Get
FM Get(NetworkType),;fmgetnetworktype,Get ( NetworkType ),Get
FM Get(OpenDataFileInfo),;fmgetopendatafileinfo,Get ( OpenDataFileInfo ),Get
FM Get(PageCount),;fmgetpagecount,Get ( PageCount ),Get
FM Get(PageNumber),;fmgetpagenumber,Get ( PageNumber ),Get
FM Get(PersistentID),;fmgetpersistentid,Get ( PersistentID ),Get
FM Get(PreferencesPath),;fmgetpreferencespath,Get ( PreferencesPath ),Get
FM Get(PrinterName),;fmgetprintername,Get ( PrinterName ),Get
FM Get(QuickFindText),;fmgetquickfindtext,Get ( QuickFindText ),Get
FM Get(RecordAccess),;fmgetrecordaccess,Get ( RecordAccess ),Get
FM Get(RecordID),;fmgetrecordid,Get ( RecordID ),Get
FM Get(RecordModificationCount),;fmgetrecordmodificationcount,Get ( RecordModificationCount ),Get
FM Get(RecordNumber),;fmgetrecordnumber,Get ( RecordNumber ),Get
